piece_id,piece_name,type
10164pb01,"Minifigure, Headgear Cap, Santa with Red Top Pattern",PART
10288,"Technic, Axle and Pin Connector Triple",PART
10301pb05,"Minifigure, Hair Bat Ears with Dark Brown Inner Ear Contour Lines Pattern &#40;SW Chadra-Fan / Kabe&#41;",PART
10555,"Minifigure Cape Cloth, Narrow with Single Top Hole",PART
10830c01,"Minifigure, Utensil Magnifying Glass Thick Frame and Solid Handle with Trans-Clear Lens",PART
11090,Bar Holder with Clip,PART
11211,"Brick, Modified 1 x 2 with Studs on Side",PART
11217pb01,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Black Visor and Blue 501st Legion Markings Pattern",PART
11217pb02,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Captain Rex Blue and Tan Markings and Dark Bluish Gray Tally Marks Pattern",PART
11217pb03,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Black Visor and Bright Light Orange 212th Attack Battalion Markings Pattern",PART
11217pb04,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Jek-14 Light Blue Visor and Dark Red Pattern",PART
11217pb05,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Red Shock Trooper Pattern",PART
11217pb06,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Dark Green Pattern &#40;Commander Gree&#41;",PART
11217pb07,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Wolf Insignia on Forehead and Dark Bluish Gray Pattern",PART
11217pb08,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with 41st Camouflage Pattern",PART
11217pb09,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Ep.3 Pattern",PART
11217pb10,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Dark Red Emblem Pattern",PART
11217pb11,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Black Visor and Orange 212th Attack Battalion Markings Pattern",PART
11217pb12,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Tan and Dark Tan Camouflage Pattern",PART
11217pb13,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Black Visor and Dark Tan Gunner Markings Pattern",PART
11217pb14,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Orange 332nd Company Pattern",PART
11217pb15,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Black Visor and Blue and Light Bluish Gray 501st Legion Markings Pattern",PART
11217pb16,"Minifigure, Headgear Helmet SW Clone Trooper &#40;Phase 2&#41; with Blue and Red 501st Legion Pattern",PART
11219pb01,"Minifigure, Headgear Helmet SW Republic Trooper with Orange Pattern",PART
11256,"Minifigure, Hair Female Short, Wavy with Side Part",PART
11261,"Minifigure, Hair Long with Braided Front",PART
11303,"Minifigure, Headgear Cap - Short Curved Bill with Seams and Hole on Top",PART
11330pb01c01,"Torso/Head Alien, SW Pong Krell Pattern / Medium Nougat Arms / Reddish Brown Hands",PART
11331pb01,"Minifigure, Headgear Helmet SW Clone Pilot with Elongated Breathing Mask and 501st Pattern",PART
11402a,"Minifigure, Utensil Tool Screwdriver - Wide Head - 3-Rib Handle",PART
11437,"Minifigure, Helmet Ninja Horn Elaborate",PART
11476,"Plate, Modified 1 x 2 with Clip on Side &#40;Horizontal Grip&#41;",PART
11477,"Slope, Curved 2 x 1 x 2/3",PART
11477pb040,"Slope, Curved 2 x 1 x 2/3 with SW Pao Backpack Pattern &#40;Sticker&#41; - Set 75156",PART
11538pb01,"Minifigure, Headgear Helmet SW Rebel with Dark Tan, Sand Blue, and Dark Blue A-wing Pilot Pattern",PART
11538pb02,"Minifigure, Headgear Helmet SW Rebel with B-wing Pilot Pattern",PART
11538pb03,"Minifigure, Headgear Helmet SW Rebel with Dark Brown and Dark Tan Pattern",PART
11538pb04,"Minifigure, Headgear Helmet SW Rebel with Dark Tan, Gold and Green A-wing Pilot Pattern",PART
11538pb05,"Minifigure, Headgear Helmet SW Rebel with Dark Tan, Dark Bluish Gray and Dark Red A-wing Pilot Pattern",PART
11538pb06,"Minifigure, Headgear Helmet SW Rebel with Black Stripes, Red Aurebesh Characters DA, Yellow Rebel Logo and White A-wing Pilot Pattern",PART
11538pb07,"Minifigure, Headgear Helmet SW Rebel with Dark Tan, Silver, and Dark Blue A-wing Pilot Pattern",PART
11908,"Minifigure, Hair Long Wavy with Ragged Bottom Edge",PART
12895pb02,"Minifigure, Headgear Cap, Captain with Gold Stripe, Black Insignia and Reddish Brown Top Pattern &#40;SW Naboo Security Guard&#41;",PART
13194pb01,"Minifigure, Headgear Headdress SW Tholoth with Dark Tan, Blue and Brown Pattern",PART
13195pb01,"Minifigure, Head, Modified SW Yoda Curved Ears with Black Eyes and White Pupils Pattern",PART
13196pb01,"Minifigure, Head, Modified SW Max Rebo Pattern",PART
13197pb01,"Minifigure, Head, Modified SW Coleman Trebor Pattern",PART
13198pb01,"Minifigure, Hair Female Ponytail Long Braided with Gold Hair Clips Pattern",PART
13249,Hips Mechanical,PART
13250,"Leg Mechanical, Darth Maul",PART
13251,"Minifigure, Hair Female with Elaborate Knot Bun",PART
14295,Minifigure Skirt Cloth 6 Jagged Points,PART
14418,"Plate, Modified 1 x 2 with Small Tow Ball Socket on End",PART
14562pb01,Minifigure Armor Pauldron Cloth with Blue Stripes Pattern,PART
15071,"Minifigure, Weapon Gun, Blaster 1 x 2 x 2/3 with Studs on Sides and Handle",PART
15307pb01,"Minifigure, Head, Modified SW Wookiee, Chewbacca with Medium Nougat Face Fur and Teeth Pattern",PART
15307pb02,"Minifigure, Head, Modified SW Wookiee, Chewbacca with Black Eyes and Nose and Holiday Red and Green Ammo Strap Pattern",PART
15308pb01,"Minifigure, Headgear Helmet SW Airborne Clone Trooper with Orange Markings Pattern",PART
15308pb02,"Minifigure, Headgear Helmet SW Airborne Clone Trooper with Tan and Dark Tan Camouflage Pattern",PART
15310pb01,"Minifigure, Headgear Helmet SW Imperial Gunner with Silver SW Imperial Logo Pattern",PART
15310pb02,"Minifigure, Headgear Helmet SW Imperial Gunner with White SW Imperial Logo Pattern",PART
15311pb01,"Minifigure, Headgear Helmet SW Elite Corps Trooper with Camouflage Pattern",PART
15311pb02,"Minifigure, Headgear Helmet SW Elite Corps Trooper with Camouflage Pattern 2",PART
15392,"Projectile Launcher Part, Trigger for Gun, Mini Blaster / Shooter",PART
23950,Panel 1 x 3 x 1,PART
15395,"Brick, Round 2 x 2 Dome Bottom",PART
15403,"Projectile Launcher, 1 x 2 Mini Blaster / Shooter",PART
15456,"Plate, Modified 2 x 2 with Tow Ball and Hole",PART
15534,Hook Grappling with Side Bar,PART
15535,"Tile, Round 2 x 2 with Hole",PART
15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder &#40;Jumper&#41;",PART
15632pb01,"Minifigure, Head, Modified SW Wookiee, Chief Tarfful with Dark Tan Face Fur, Teeth and Silver Hair Ornaments Pattern",PART
15712,"Tile, Modified 1 x 1 with Open O Clip",PART
16471pb01,"Minifigure, Head, Modified SW Bith with Black Eyes and Nougat Mouth Pattern",PART
16475pb01,"Minifigure, Head, Modified SW Ithorian Pattern",PART
16497,"Minifigure, Headgear Cap, SW Imperial Officer, Bespin Guard",PART
16497pb01,"Minifigure, Headgear Cap, SW Imperial Officer with Silver and Black Code Disk Pattern",PART
16497pb02,"Minifigure, Headgear Cap, SW Imperial Officer with Silver and Black Code Disk and Dark Brown Stains Pattern",PART
16497pb03,"Minifigure, Headgear Cap, SW Imperial Officer with Silver Code Disk Pattern",PART
16497pb04,"Minifigure, Headgear Cap, SW Sith Fleet Officer with Silver Sith Eternal Emblem Pattern",PART
16501pb01,"Minifigure, Headgear Helmet SW Snowtrooper with Black Eye Holes Pattern",PART
16957,"Minifigure, Head, Modified SW RA-7 Protocol Droid Plain",PART
17485pb001,"Brick, Round 2 x 2 with Pin Holes with Silver and Dark Orange Robot Pattern &#40;C1-10P&#41;",PART
17485pb005,"Brick, Round 2 x 2 with Pin Holes with Dark Tan, Red and Silver Robot Pattern &#40;R1-J5&#41;",PART
17486,"Leg Mechanical, Droid with Technic Pin - Short",PART
17535pb01,"Minifigure, Head, Modified SW Lasat with Light Bluish Gray Face, Black Beard and Sideburns Pattern &#40;Garazeb Zeb Orrelios&#41;",PART
17630,"Minifigure, Hair Straight Cut and Short Ponytail",PART
17774pb01,"Minifigure, Headgear Helmet SW Rebel with Gray Squadron B-wing Pilot Pattern",PART
17774pb02,"Minifigure, Headgear Helmet SW Rebel with A-wing Pilot Pattern",PART
18168,"Minifigure Armor Pauldron Cloth, Tattered",PART
18168pb01,"Minifigure Armor Pauldron Cloth, Tattered with Dark Orange Boba Fett Stripe Pattern",PART
