participation,quantity,item_id,piece_id,colour_id
2800,1,sw0001a,3023,2
2801,1,sw0001a,30375,2
2802,1,sw0001a,30378,2
2803,2,sw0001a,30377,2
2804,1,sw0001a,30376,2
2805,1,sw0001b,30375,2
2806,1,sw0001b,30378,2
2807,2,sw0001b,30377,2
2808,1,sw0001b,30376,2
2809,1,sw0001c,30375,2
2810,1,sw0001c,30378,2
2811,1,sw0001c,30377,2
2812,1,sw0001c,30376,2
2813,1,sw0001c,59230,2
2814,1,sw0001d,30375,2
2815,1,sw0001d,30378,2
2816,1,sw0001d,30376,2
2817,2,sw0001d,59230,2
2818,1,sw0002,3626b,11
2819,1,sw0002,973pb0282c01,9
2820,1,sw0002,x50px1,6
2821,1,sw0002,970c09,8
2822,1,sw0002a,3626b,11
2823,1,sw0002a,x50px1,6
2824,1,sw0002a,970c86,88
2825,1,sw0002a,973pb0282c03,86
2826,1,sw0002b,3626b,11
2827,1,sw0002b,970c86,88
2828,1,sw0002b,973pb0282c03,86
2829,1,sw0002b,x50px3,6
2830,1,sw0003,970c00,11
2831,1,sw0003,973px88c01,11
2832,1,sw0003,30381,11
2833,1,sw0003,522,11
2834,1,sw0003,3626bps8,11
2835,1,sw0004,970c00,11
2836,1,sw0004,973ps7c01,11
2837,1,sw0004,30368,11
2838,1,sw0004,522,11
2839,1,sw0004,3626bps7,9
2840,1,sw0004a,970c00,11
2841,1,sw0004a,973ps7c01,11
2842,1,sw0004a,30368,11
2843,1,sw0004a,522,11
2844,1,sw0004a,3626bps7,86
2845,1,sw0005,973psec01,1
2846,1,sw0005,x52,1
2847,1,sw0005,3626bpse,3
2848,1,sw0005,970c01,11
2849,1,sw0005a,3626b,11
2850,1,sw0005a,x52,1
2851,1,sw0005a,970c01,11
2852,1,sw0005a,973pb0587c01,1
2853,1,sw0005b,x52,1
2854,1,sw0005b,970c01,11
2855,1,sw0005b,973pb0587c01,1
2856,1,sw0005b,3626bpb0664,11
2857,1,sw0006,3040,2
2858,1,sw0006,30375,2
2859,3,sw0006,30377,2
2860,1,sw0006,30376,2
2861,1,sw0006,30171,8
2862,1,sw0006,3626bpx46,3
2863,1,sw0006,30170,11
2864,1,sw0007,970c00,2
2865,1,sw0007,973px82ac01,2
2866,1,sw0007,30171,8
2867,1,sw0007,3626bpx45,3
2868,1,sw0007,30170,11
2869,1,sw0008,970c00,2
2870,1,sw0008,973px82ac01,2
2871,1,sw0008,30171,9
2872,1,sw0008,3626bpx45,3
2873,1,sw0008,30170,10
2874,1,sw0009,3626bp03,3
2875,1,sw0009,x164px4,1
2876,1,sw0009,970c04,10
2877,1,sw0009,973ps1c01,4
2878,1,sw0010,970c00,61
2879,1,sw0010,30480,61
2880,1,sw0010,973px160c01,61
2881,1,sw0011,970c00,8
2882,1,sw0011,30483pb01,8
2883,1,sw0011,973c00,8
2884,1,sw0011a,970c00,88
2885,1,sw0011a,30483pb01,88
2886,1,sw0011a,973c00,88
2887,1,sw0012,3626bp01,3
2888,1,sw0012,x164px3,1
2889,1,sw0012,970c04,10
2890,1,sw0012,973ps1c01,4
2891,1,sw0012a,3626bp01,3
2892,1,sw0012a,x164px3,1
2893,1,sw0012a,970c04,85
2894,1,sw0012a,973ps1c01,4
2895,1,sw0012b,3626bp01,90
2896,1,sw0012b,x164px3,1
2897,1,sw0012b,970c04,85
2898,1,sw0012b,973ps1c01,4
2899,1,sw0013,970c00,6
2900,1,sw0013,30371,2
2901,1,sw0013,973pb0068c01,6
2902,1,sw0014,3901,8
2903,1,sw0014,973ps5c01,11
2904,1,sw0014,970c00pb0023,7
2905,1,sw0014,3626bps5,3
2906,1,sw0015,970c00,8
2907,1,sw0015,3901,8
2908,1,sw0015,973ps4c01,1
2909,1,sw0015,3626bps5,3
2910,1,sw0016,2447,8
2911,1,sw0016,2524,1
2912,1,sw0016,973px84c01,2
2913,1,sw0016,30171,1
2914,1,sw0016,3626bp7a,3
2915,1,sw0016,970c09,1
2916,1,sw0017,970c00,10
