theme_id,theme_path,item_id
1,4_Juniors,1435-1
2,4_Juniors,1436-1
3,4_Juniors,1437-1
4,4_Juniors,4108-1
5,4_Juniors,4109-1
6,4_Juniors,4110-1
7,4_Juniors,4111-1
8,4_Juniors,4600-1
9,4_Juniors,4601-1
10,4_Juniors,4603-1
11,4_Juniors,4604-1
12,4_Juniors,4605-1
13,4_Juniors,4606-1
14,4_Juniors,4607-1
15,4_Juniors,4608-1
16,4_Juniors,4609-1
17,4_Juniors,4610-1
18,4_Juniors,4611-1
19,4_Juniors,4612-1
20,4_Juniors,4613-1
21,4_Juniors,4614-1
22,4_Juniors,4615-1
23,4_Juniors,4616-1
24,4_Juniors,4617-1
25,4_Juniors,4618-1
26,4_Juniors,4619-1
27,4_Juniors,4620-1
28,4_Juniors,4621-1
29,4_Juniors,4622-1
30,4_Juniors,4651-1
31,4_Juniors,4652-1
32,4_Juniors,4653-1
33,4_Juniors,4654-1
34,4_Juniors,4655-1
35,4_Juniors,4657-1
36,4_Juniors,4666-1
37,4_Juniors,4667-1
38,4_Juniors,4668-1
39,4_Juniors,4669-1
40,4_Juniors,4858-1
41,4_Juniors,4860-1
42,4_Juniors,7070-1
43,4_Juniors,7071-1
44,4_Juniors,7072-1
45,4_Juniors,7073-1
46,4_Juniors,7074-1
47,4_Juniors,7075-1
48,4_Juniors,7075-2
49,4_Juniors,7082-1
50,4_Juniors,7099-1
51,4_Juniors,7290-1
52,4_Juniors,K4609-1
53,4_Juniors,K4611-1
54,4_Juniors,K4612-1
55,4_Juniors~Jack_Stone,1435-1
56,4_Juniors~Jack_Stone,1436-1
57,4_Juniors~Jack_Stone,1437-1
58,4_Juniors~Jack_Stone,4600-1
59,4_Juniors~Jack_Stone,4601-1
60,4_Juniors~Jack_Stone,4603-1
61,4_Juniors~Jack_Stone,4604-1
62,4_Juniors~Jack_Stone,4605-1
63,4_Juniors~Jack_Stone,4606-1
64,4_Juniors~Jack_Stone,4607-1
65,4_Juniors~Jack_Stone,4608-1
66,4_Juniors~Jack_Stone,4609-1
67,4_Juniors~Jack_Stone,4610-1
68,4_Juniors~Jack_Stone,4611-1
69,4_Juniors~Jack_Stone,4612-1
70,4_Juniors~Jack_Stone,4613-1
71,4_Juniors~Jack_Stone,4614-1
72,4_Juniors~Jack_Stone,4615-1
73,4_Juniors~Jack_Stone,4616-1
74,4_Juniors~Jack_Stone,4617-1
75,4_Juniors~Jack_Stone,4618-1
76,4_Juniors~Jack_Stone,4619-1
77,4_Juniors~Jack_Stone,4620-1
78,4_Juniors~Jack_Stone,4621-1
79,4_Juniors~Jack_Stone,4622-1
80,4_Juniors~Jack_Stone,K4609-1
81,4_Juniors~Jack_Stone,K4611-1
82,4_Juniors~Jack_Stone,K4612-1
83,4_Juniors~Pirates,7070-1
84,4_Juniors~Pirates,7071-1
85,4_Juniors~Pirates,7072-1
86,4_Juniors~Pirates,7073-1
87,4_Juniors~Pirates,7074-1
88,4_Juniors~Pirates,7075-1
89,4_Juniors~Pirates,7075-2
90,4_Juniors~Pirates,7080-1
91,4_Juniors~Pirates,7081-1
92,4_Juniors~Pirates,7082-1
93,4_Juniors~Pirates,7290-1
94,4_Juniors~Spider-Man,4858-1
95,4_Juniors~Spider-Man,4860-1
96,4_Juniors~Supplemental,4108-1
97,4_Juniors~Supplemental,4109-1
98,4_Juniors~Supplemental,4110-1
99,4_Juniors~Supplemental,4111-1
100,4_Juniors~Supplemental,7099-1
101,4_Juniors~Town,4651-1
102,4_Juniors~Town,4652-1
103,4_Juniors~Town,4653-1
104,4_Juniors~Town,4654-1
105,4_Juniors~Town,4655-1
106,4_Juniors~Town,4657-1
107,4_Juniors~Town,4666-1
108,4_Juniors~Town,4667-1
109,4_Juniors~Town,4668-1
110,4_Juniors~Town,4669-1
111,Adventurers,1094-1
112,Adventurers,1182-1
113,Adventurers,1183-1
114,Adventurers,1271-1
115,Adventurers,1278-1
116,Adventurers,1279-1
117,Adventurers,1280-1
118,Adventurers,1281-1
119,Adventurers,2541-1
120,Adventurers,2542-1
121,Adventurers,2879-1
122,Adventurers,2995-1
123,Adventurers,2996-1
124,Adventurers,3020-1
125,Adventurers,3021-1
126,Adventurers,3022-1
127,Adventurers,3023-1
128,Adventurers,3039-1
129,Adventurers,3055-1
130,Adventurers,3380-1
131,Adventurers,3381-1
132,Adventurers,3382-1
133,Adventurers,3722-1
134,Adventurers,3722-2
135,Adventurers,5900-1
136,Adventurers,5901-1
137,Adventurers,5902-1
138,Adventurers,5903-1
139,Adventurers,5904-1
140,Adventurers,5905-1
141,Adventurers,5906-1
142,Adventurers,5909-1
143,Adventurers,5911-1
144,Adventurers,5912-1
145,Adventurers,5913-1
146,Adventurers,5914-1
147,Adventurers,5918-1
148,Adventurers,5919-1
149,Adventurers,5920-1
150,Adventurers,5921-1
151,Adventurers,5925-1
152,Adventurers,5928-1
153,Adventurers,5934-1
154,Adventurers,5935-1
155,Adventurers,5936-1
156,Adventurers,5938-1
157,Adventurers,5938-2
158,Adventurers,5948-1
159,Adventurers,5958-1
160,Adventurers,5975-1
161,Adventurers,5976-1
162,Adventurers,5978-1
163,Adventurers,5986-1
164,Adventurers,5987-1
165,Adventurers,5988-1
166,Adventurers,7409-1
167,Adventurers,7410-1
168,Adventurers,7411-1
169,Adventurers,7412-1
170,Adventurers,7413-1
171,Adventurers,7414-1
172,Adventurers,7415-1
173,Adventurers,7416-1
