price_record,date,avg_price,min_price,max_price,total_quantity,item_id
1428,2023-01-24,5.66,2.46,16.54,130,sw0001a
1429,2023-01-24,3.24,1.31,14.48,2330,sw0001b
1430,2023-01-24,1.93,0.49,14.48,11622,sw0001c
1431,2023-01-24,3.85,0.88,17.62,185,sw0001d
1432,2023-01-24,55.13,36.93,103.45,87,sw0002
1433,2023-01-24,59.19,32.69,159.14,62,sw0002a
1434,2023-01-24,60.34,35.19,159.14,46,sw0002b
1435,2023-01-24,22.14,11.67,93.09,116,sw0003
1436,2023-01-24,59.43,37.31,162.49,19,sw0004
1437,2023-01-24,44.72,23.8,93.09,36,sw0004a
1438,2023-01-24,14.55,5.17,72.4,132,sw0005
1439,2023-01-24,7.19,3.73,20.69,424,sw0005a
1440,2023-01-24,8.52,3.06,41.37,148,sw0005b
1441,2023-01-24,17.29,10.67,39.78,12,sw0006
1442,2023-01-24,10.93,3.2,26.43,40,sw0007
1443,2023-01-24,13.84,4.6,62.06,39,sw0008
1444,2023-01-24,17.06,8.21,72.41,58,sw0009
1445,2023-01-24,13.59,5.64,51.72,221,sw0010
1446,2023-01-24,13.08,2.66,41.38,131,sw0011
1447,2023-01-24,6.21,2.25,25.86,948,sw0011a
1448,2023-01-24,7.26,4.43,13.95,76,sw0012
1449,2023-01-24,8.93,6.62,13.21,17,sw0012a
1450,2023-01-24,11.17,4.3,31.03,41,sw0012b
1451,2023-01-24,14.27,8.95,41.38,58,sw0013
1452,2023-01-24,67.71,53.34,93.09,21,sw0014
1453,2023-01-24,14.8,8.37,20.11,17,sw0015
1454,2023-01-24,11.91,8.07,18.88,26,sw0016
1455,2023-01-24,9.5,4.1,31.03,188,sw0017
1456,2023-01-24,14.56,6.56,51.72,119,sw0018
1457,2023-01-24,10.87,3.69,55.69,109,sw0019
1458,2023-01-24,11.87,4.38,39.39,49,sw0019a
1459,2023-01-24,9.37,5.91,31.18,68,sw0020
1460,2023-01-24,10.03,4.9,41.38,110,sw0021
1461,2023-01-24,15.15,6.63,41.38,52,sw0022
1462,2023-01-24,16.12,9.85,41.38,30,sw0023
1463,2023-01-24,10.24,7.39,18.35,17,sw0023a
1464,2023-01-24,31.59,22.06,62.06,72,sw0024
1465,2023-01-24,10.91,4.09,51.72,79,sw0025
1466,2023-01-24,90.43,60.34,123.1,14,sw0026
1467,2023-01-24,16.08,7.27,48.45,80,sw0027
1468,2023-01-24,8.36,2.36,50.16,409,sw0028
1469,2023-01-24,16.65,4.43,31.03,23,sw0028a
1470,2023-01-24,9.06,4.1,36.39,338,sw0029
1471,2023-01-24,20.94,10.26,39.78,119,sw0029a
1472,2023-01-24,15.39,5.09,55.8,22,sw0030
1473,2023-01-24,14.69,5.74,51.72,49,sw0031
