item_id,item_name,year_released,item_type,views
sw0001a,Battle Droid Tan with Back Plate,1999,M,116
sw0001b,Battle Droid Tan without Back Plate,1999,M,31
sw0001c,Battle Droid with One Straight Arm,2007,M,46
sw0001d,Battle Droid with 2 Straight Arms,2008,M,0
sw0002,Boba Fett - Classic Grays,2000,M,8
sw0002a,Boba Fett - Bluish Grays,2006,M,1
sw0002b,Boba Fett - Bluish Grays - Dark Red Helmet Highlights,2009,M,1
sw0003,Darth Maul,1999,M,2
sw0004,Darth Vader Light Gray Head,1999,M,1
sw0004a,Darth Vader (Light Bluish Gray Head),2004,M,13
sw0005,Scout Trooper,1999,M,1
sw0005a,"Scout Trooper (Black Head, Dark Bluish Gray Torso Pattern)",2009,M,1
sw0005b,"Scout Trooper Printed Black Head, Dark Bluish Gray Torso Pattern",2012,M,0
sw0006,Aldar Beedo,2000,M,1
sw0007,Anakin Skywalker Brown Aviator Cap,1999,M,1
sw0008,Anakin Skywalker Light Gray Aviator Cap,1999,M,0
sw0009,Biggs Darklighter,1999,M,0
sw0010,C-3PO - Pearl Light Gold,2000,M,2
sw0011,Chewbacca (Brown),2000,M,1
sw0011a,Chewbacca (Reddish Brown),2004,M,0
sw0012,Dak Ralter with Dark Gray Hips,1999,M,0
sw0012a,Dak Ralter with Dark Bluish Gray Hips,2004,M,0
sw0012b,"Dak Ralter - Dark Bluish Gray Hips, Light Nougat Head",2007,M,0
sw0013,Gungan Soldier,2000,M,1
sw0014,"Han Solo, Blue Legs (Falcon)",2000,M,0
sw0015,"Han Solo, Brown Legs without Holster Pattern (Skiff)",2000,M,0
sw0016,"Hoth Rebel Yellow Head, Brown Visor",1999,M,0
sw0017,Jar Jar Binks,1999,M,2
sw0018,Luke Skywalker (Endor),1999,M,2
sw0019,Luke Skywalker with Dark Gray Hips Pilot,1999,M,1
sw0019a,Luke Skywalker (Pilot with Dark Bluish Gray Hips),2004,M,2
sw0020,Luke Skywalker (Skiff),2000,M,1
sw0021,Luke Skywalker (Tatooine),1999,M,0
sw0022,Naboo Security Officer,2000,M,0
sw0023,Obi-Wan Kenobi with Light Gray Hair Old,1999,M,0
sw0023a,Obi-Wan Kenobi Old with Light Bluish Gray Hair,2004,M,0
sw0024,Obi-Wan Kenobi Young with Hood and Cape,1999,M,0
sw0025,Padme Naberrie Amidala Yellow,1999,M,0
sw0026,Princess Leia,2000,M,1
sw0027,Qui-Gon Jinn Yellow Head,1999,M,0
sw0028,"Astromech Droid, R2-D2",1999,M,0
sw0028a,"Astromech Droid, R2-D2, Serving Tray Dark Bluish Gray",2006,M,0
sw0029,"Astromech Droid, R5-D4, Short Red Stripes on Dome",1999,M,0
sw0029a,"Astromech Droid, R5-D4, Long Red Stripes on Dome",2007,M,0
sw0030,Rebel Engineer,2000,M,0
sw0031,"Rebel Pilot A-wing - Yellow Head, Trans-Yellow Visor, Green Jumpsuit",2000,M,0
sw0031a,"Rebel Pilot A-wing - Light Nougat Head, Trans-Black Visor, Green Jumpsuit",2006,M,0
sw0031b,"Rebel Pilot A-wing - Light Nougat Head, Trans-Yellow Visor, Green Jumpsuit",2009,M,0
sw0032,"Rebel Pilot B-wing Yellow Head, Light Gray Helmet, Trans-Yellow Visor",2000,M,0
sw0032a,"Rebel Pilot B-wing - Light Nougat Head, Light Bluish Gray Helmet, Trans-Black Visor, Red Flight Suit",2006,M,0
sw0033,"Rebel Pilot Y-wing Jon Dutch Vander, Gold Leader - Yellow Head, Dark Gray Hips",1999,M,0
sw0033a,"Rebel Pilot Y-wing Jon Dutch Vander, Gold Leader - Yellow Head, Dark Bluish Gray Hips",2004,M,0
sw0034,Rebel Technician,1999,M,0
sw0035,Imperial TIE Fighter Pilot - Brown Head,2001,M,0
sw0035a,Imperial TIE Fighter Pilot - Reddish Brown Head,2004,M,0
sw0035b,Imperial TIE Fighter / Interceptor Pilot,2006,M,0
sw0036,Imperial Stormtrooper - Yellow Head,2001,M,0
sw0036a,"Imperial Stormtrooper - Light Nougat Head, Solid Mouth Helmet",2006,M,20
sw0036b,"Imperial Stormtrooper - Black Head, Solid Mouth Helmet",2007,M,0
sw0037,Pit Droid (Anakins),1999,M,0
sw0038,Watto,2001,M,2
sw0039,Pit Droid (Gasganos),1999,M,1
sw0040,Royal Guard with Red Hands,2001,M,0
sw0040b,Royal Guard with Black Hands,2006,M,0
sw0041,"Emperor Palpatine - Yellow Head, Yellow Hands",2000,M,1
sw0042,Imperial Shuttle Pilot Yellow Head,2001,M,3
sw0043,Gasgano,1999,M,0
sw0044,"Luke Skywalker with Black Hood, Black Cape",2000,M,2
sw0045,"Han Solo, Brown Legs with Holster Pattern",2000,M,3
sw0046,"Imperial Officer Captain / Commandant / Commander - Police Cap, Yellow Head with Standard Grin",2002,M,0
sw0047,Battle Droid Security,2002,M,1
sw0048,Battle Droid Commander,2000,M,0
sw0049,Lobot Yellow Head,2002,M,1
sw0050,"Ewok, Brown Hood (Wicket)",2002,M,0
sw0051,Yoda,2002,M,0
sw0052,Tusken Raider,2002,M,1
sw0053,Jango Fett Balaclava Head,2002,M,2
sw0054,"Boba Fett, Young - Yellow Head",2002,M,1
sw0055,Obi-Wan Kenobi Young with Dark Orange Hair and Headset,2002,M,1
sw0055a,"Obi-Wan Kenobi Young with Dark Orange Hair, without Headset",2002,M,0
sw0056,Super Battle Droid - Pearl Sand Blue,2002,M,2
sw0057,"Jedi Knight (Dark Gray Tunic, Brown Hood)",2002,M,0
sw0058,Clone Trooper Phase 1 - Black Head,2002,M,0
sw0059,Zam Wesell,2002,M,0
sw0060,Count Dooku,2002,M,0
sw0061,Battle Droid Geonosian,2003,M,0
sw0062,Geonosian - Dark Gray,2003,M,0
sw0063,"Droideka - Destroyer Droid Brown, Light and Dark Gray",2002,M,0
sw0064,Pit Droid (Sebulbas),1999,M,0
sw0065,Battle Droid Pilot with Tan Torso with Blue Insignia,2001,M,1
sw0066,"Emperor Palpatine - Yellow Head, Black Hands",2000,M,1
sw0067,"Ewok, Tan Hood (Paploo)",2002,M,2
sw0068,Luke Skywalker with Black Right Hand (Final Duel II),2002,M,0
sw0069,Obi-Wan Kenobi Young with Padawan Braid Pattern,2002,M,0
sw0070,Princess Leia Jabba Slave with Neck Bracket,2003,M,1
sw0071,Jabba the Hutt,2003,M,0
sw0072,EV-9D9,2003,M,0
sw0073,"Gonk Droid GNK Power Droid, Light and Dark Gray",2003,M,1
sw0073a,"Gonk Droid GNK Power Droid, Dark Bluish Gray Body and Light Bluish Gray Legs",2005,M,0
sw0074,BOmarr Monk Trans-Neon Orange Plate,2003,M,0
sw0075,Gamorrean Guard Dark Gray Arms,2003,M,0
sw0076,"Bib Fortuna - Cape, Tan Skin",2003,M,1
sw0077,T-16 Skyhopper Pilot - Red Helmet,2003,M,0
sw0078,Geonosian with Wings,2003,M,0
sw0079,Luke Skywalker (Jabbas Palace),2003,M,1
sw0080,"Snowtrooper, Light Bluish Gray Hips, Black Hands (Falcon blue box)",2004,M,0
sw0081,"Han Solo - Light Nougat,Reddish Brown Hair, Tan Legs",2004,M,0
sw0082,"Rebel Technician, Light Bluish Gray Uniform",2006,M,0
sw0083,"Luke Skywalker -  Light Nougat, Black Tunic",2006,M,0
sw0084,"Han Solo - Light Nougat, White Shirt, Reddish Brown Legs",2006,M,2
sw0085,"Princess Leia - Light Nougat, Jabba Slave Outfit, Neck Bracket",2006,M,1
sw0085a,"Princess Leia - Light Nougat, Jabba Slave Outfit",2009,M,1
sw0086,"Lando Calrissian - Skiff Guard, Reddish Brown Hips",2006,M,0
sw0087,Gamorrean Guard Reddish Brown Arms,2006,M,0
sw0088,"Han Solo - Light Nougat, Reddish Brown Legs with Holster",2006,M,0
sw0088a,"Han Solo - Light Nougat, Reddish Brown Legs with Holster 2010",2006,M,0
sw0089,Wedge Antilles,2006,M,0
sw0090,"Luke Skywalker - Light Nougat, X-Wing Pilot Suit, Simple Torso and Helmet",2006,M,2
sw0090a,"Luke Skywalker - Light Nougat, X-Wing Pilot Suit, Detailed Torso and Helmet 2010",2006,M,2
sw0091,"Clone Shock Trooper, Coruscant Guard Phase 2 - Black Head",2007,M,0
sw0092,Super Battle Droid - Pearl Dark Gray,2007,M,5
sw0093,Imperial AT-ST Pilot / Driver Plain Helmet,2007,M,1
sw0094,"Rebel Pilot Y-wing Jon ""Dutch"" Vander, Gold Leader - Light Nougat Head",2007,M,0
sw0095,Battle Droid Pilot with Blue Torso and Straight Arm,2007,M,0
sw0095a,Battle Droid Pilot with Blue Torso,2009,M,1
sw0096,Battle Droid Security with Straight Arm and Dark Red Torso,2007,M,2
sw0097,Imperial Stormtrooper - Chrome Silver,2009,M,1
sw0098,Luke Skywalker (Hoth),2010,M,3
sw0099,"Anakin Skywalker Padawan - Yellow Head, Cape",2002,M,0
sw0100,Anakin Skywalker Padawan - Yellow Head,2002,M,1
sw0101,"Snowtrooper, Light Gray Hips, White Hands",2003,M,0
sw0102,"AT-AT Driver - Red Imperial Logo, Yellow Head",2003,M,1
sw0103,"Luke Skywalker Cloud City, Tan Shirt",2003,M,5
sw0104,Princess Leia (Cloud City),2003,M,1
sw0105,"Lando Calrissian, Cloud City Outfit Smooth Hair",2003,M,2
sw0106,"Luke Skywalker Dagobah, Sand Green Tank Top, Backpack",2003,M,5
sw0106a,Luke Skywalker,1900,M,1
sw0107,Boba Fett (Cloud City - Printed Arms & Legs),2003,M,3
sw0108,"Hoth Rebel Yellow Head, White Visor Goggles",2004,M,0
sw0109,"Sandtrooper - Orange Pauldron Solid, Survival Backpack, No Dirt Stains, Helmet with Solid Mouth Pattern and Solid Yellow Head",2004,M,0
sw0109a,"Sandtrooper - Orange Pauldron Solid, No Survival Backpack, No Dirt Stains, Helmet with Solid Mouth Pattern and Solid Black Head",2007,M,0
sw0110,Greedo,2004,M,0
sw0111,"Han Solo, Dark Blue Legs",2004,M,2
sw0112,Star Wars,1900,M,3
sw0113,"Princess Leia (Hoth Outfit, Bun Hair)",2004,M,0
sw0113a,"Princess Leia Hoth Outfit, Smooth Bun Hair",2006,M,0
sw0114,"Imperial Officer Captain / Commandant / Commander - Cavalry Kepi, Smile and Brown Eyebrows",2005,M,0
sw0115,"Snowtrooper, Light Bluish Gray Hips, White Hands Hoth Stormtrooper",2004,M,0
sw0116,Luminara Unduli - Trans-Neon Green Light-Up Lightsaber,2005,M,0
sw0117,Darth Vader - Trans-Red Light-Up Lightsaber,2005,M,0
sw0118,"Clone Trooper V-wing Pilot Phase 2 - Sand Blue Arms and Legs, Black Head",2005,M,0
sw0119,"Astromech Droid, R7-D4",2010,M,1
sw0120,Anakin Skywalker - Black Right Hand,2005,M,1
sw0121,Anakin Skywalker - Trans-Light Blue Light-up Lightsaber,2005,M,0
sw0122,Imperial Stormtrooper - Printed Legs and Hips,2005,M,0
sw0123,Darth Vader (Imperial Inspection),2005,M,1
sw0124,"Emperor Palpatine - Light Bluish Gray Head, Light Bluish Gray Hands",2005,M,0
sw0125,Dwarf Spider Droid Sand Blue Dome,2005,M,0
sw0126,Clone Trooper Phase 2 - Black Head,2005,M,1
sw0127,"Clone Jet Trooper, Sky Corps Phase 2 - Black Head",2005,M,0
sw0128,"Clone Trooper, 327th Star Corps Phase 2 - Orange Cloth Pauldron, Black Head",2005,M,2
sw0128a,"Clone Trooper, 327th Star Corps Phase 2 - Black Head",2007,M,1
sw0129,"Clone Trooper, 442nd Siege Battalion Phase 2 - Black Head",2005,M,0
sw0130,"Clone Trooper, 91st Mobile Reconnaissance Corps Phase 2 - Black Head",2005,M,1
sw0131,"Scout Trooper Episode 3, Kashyyyk Trooper",2005,M,1
sw0132,Wookiee Warrior,2005,M,0
sw0133,Mace Windu - Trans-Light Purple Light-Up Lightsaber,2005,M,0
sw0134,"General Grievous - Straight Legs, Cape",2005,M,0
sw0134a,General Grievous - Straight Legs,2007,M,0
sw0135,Obi-Wan Kenobi Dark Orange Legs,2005,M,0
sw0136,Buzz Droid with Circular Blade Saw,2005,M,0
sw0137,Obi-Wan Kenobi - Trans-Light Blue Light-Up Lightsaber,2005,M,0
sw0138,Darth Vader Episode 3 without Cape,2005,M,0
sw0139,"Anakin Skywalker - Black Right Hand, No Hair",2005,M,0
sw0140,Owen Lars,2005,M,0
sw0141,Jawa with Cape,2005,M,0
